Title,Media URL,Destination Link,Description,Pinterest board
"North side of Maui, Hawaii - Winter 2025  - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/000057420015.webp,https://sjkonfilm.work/pages/color.html,"North side of Maui, Hawaii - Winter 2025  - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Amarillo, Texas - Summer 2024 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/3DDEC44C-DD7E-43EC-ABDB-E6C5A45956D7.webp,https://sjkonfilm.work/pages/color.html,"Amarillo, Texas - Summer 2024 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
Somewhere in Utah - Summer 2024 - 35mm Film Photography,https://sjkonfilm.work/assets/images/color/full/426029F6-4B94-4C9D-BBB5-419367B043D3.webp,https://sjkonfilm.work/pages/color.html,"Somewhere in Utah - Summer 2024 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Clatskanie, Oregon - Summer 2023 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_0716.webp,https://sjkonfilm.work/pages/color.html,"Clatskanie, Oregon - Summer 2023 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Clatskanie, Oregon - Summer 2023 - 35mm Film Photography #2",https://sjkonfilm.work/assets/images/color/full/IMG_0745.webp,https://sjkonfilm.work/pages/color.html,"Clatskanie, Oregon - Summer 2023 - 35mm Film Photography #2. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Jaipur, India - Spring 2023 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_0784.webp,https://sjkonfilm.work/pages/color.html,"Jaipur, India - Spring 2023 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Jaipur, India - Spring 2023 - 35mm Film Photography #2",https://sjkonfilm.work/assets/images/color/full/IMG_0802.webp,https://sjkonfilm.work/pages/color.html,"Jaipur, India - Spring 2023 - 35mm Film Photography #2. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Jaipur, India - Spring 2023 - 35mm Film Photography #3",https://sjkonfilm.work/assets/images/color/full/IMG_0849.webp,https://sjkonfilm.work/pages/color.html,"Jaipur, India - Spring 2023 - 35mm Film Photography #3. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Agra, India - Spring 2023 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_0851.webp,https://sjkonfilm.work/pages/color.html,"Agra, India - Spring 2023 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Chicago, Illinois - Summer 2023 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_0922.webp,https://sjkonfilm.work/pages/color.html,"Chicago, Illinois - Summer 2023 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Chicago, Illinois - Summer 2023 - 35mm Film Photography #2",https://sjkonfilm.work/assets/images/color/full/IMG_0928.webp,https://sjkonfilm.work/pages/color.html,"Chicago, Illinois - Summer 2023 - 35mm Film Photography #2. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Mt. Rainier National Park, Washington - Summer 2021 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_1941.webp,https://sjkonfilm.work/pages/color.html,"Mt. Rainier National Park, Washington - Summer 2021 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Seaside, Oregon - Autumn 2023 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_1945.webp,https://sjkonfilm.work/pages/color.html,"Seaside, Oregon - Autumn 2023 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Seattle, Washington - Summer 2021 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_1953.webp,https://sjkonfilm.work/pages/color.html,"Seattle, Washington - Summer 2021 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Seaside, Oregon - Autumn 2023 - 35mm Film Photography #2",https://sjkonfilm.work/assets/images/color/full/IMG_2244.webp,https://sjkonfilm.work/pages/color.html,"Seaside, Oregon - Autumn 2023 - 35mm Film Photography #2. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
"Portland, Oregon - Summer 2025 - 35mm Film Photography",https://sjkonfilm.work/assets/images/color/full/IMG_2251.webp,https://sjkonfilm.work/pages/color.html,"Portland, Oregon - Summer 2025 - 35mm Film Photography. Shot on analog 35mm / 120 film by Sawyer Knox in Portland, Oregon. Instagram: @sawyer.j.knox | Portfolio & prints: https://sjkonfilm.work",Color Film Photography
